"reference_no","aff_country","samp_country"
78640,"India","Bhutan"
4262,"Germany","United Arab Emirates"
4262,"Germany","Oman"
8820,"USA",NA
83246,"Spain",NA
74030,"Switzerland","Italy"
36450,"France","United States"
36450,"Croatia","United States"
9348,"UK","Lebanon"
44169,"Italy","Italy"
44169,"Australia","Italy"
44169,"Germany","Italy"
82875,"UK","Canada"
8954,"France",NA
8954,"USA",NA
41874,"Russia","Russia"
10118,"Germany","Iran"
10118,"Iran","Iran"
77827,"Italy","Italy"
77565,"China","China"
43867,"Argentina","Argentina"
13736,"France",NA
13736,"Romania",NA
13736,"Canada",NA
75778,"Russia",NA
75778,"USA",NA
77671,"India","India"
7828,"USA","Colombia"
45840,"Russia",NA
49488,"Argentina","Argentina"
27966,"Brazil","Brazil"
27966,"Argentina","Brazil"
80661,"Czech Republic","Czechia"
72298,"Germany","United States"
55420,"Germany","Brazil"
45836,"Russia",NA
43893,"Argentina","Argentina"
43933,"Argentina","Argentina"
55144,"Argentina","Argentina"
6930,"USA",NA
32745,"Czech Republic","Germany"
32745,"Czech Republic","Hungary"
32433,"China","China"
30606,"South Korea","Canada"
30606,"Canada","Canada"
35535,"USA","China"
35535,"China","China"
35535,"Germany","China"
35535,"UK","China"
13548,"UK",NA
45845,"Russia",NA
49056,"Chile","Chile"
16637,"Turkey","Turkey"
70346,"USA",NA
58180,"Argentina",NA
48162,"Argentina","Argentina"
34839,"Canada","Canada"
34839,"USA","Canada"
47464,"India","India"
30757,"Romania","Romania"
44594,"Argentina","Argentina"
50154,"Italy","Italy"
50154,"The Netherlands","Italy"
32488,"Japan","China"
32488,"China","China"
65025,"USA","United States"
43995,"India","India"
42469,"Israel","Israel"
81475,"Poland","Poland"
59282,"USA","China"
59282,"China","China"
27506,"USA","United States"
48165,"Argentina","Argentina"
23357,"Germany","Canada"
23357,"Canada","Canada"
81981,"USA","United States"
27116,"India","India"
77887,"India","India"
86054,"The Netherlands","Netherlands"
13990,"UK",NA
32418,"Japan","China"
32418,"China","China"
24720,"Germany","Spain"
27428,"Japan",NA
25689,"Italy","Austria"
25689,"Italy","Italy"
25689,"Germany","Austria"
25689,"Germany","Italy"
48091,"Argentina","Argentina"
43936,"Argentina","Argentina"
49481,"Argentina","Argentina"
67517,"UK",NA
67517,"Croatia",NA
67517,"Italy",NA
19002,"Germany",NA
59278,"USA",NA
77546,"China","China"
34841,"Canada","Canada"
34841,"USA","Canada"
42028,"Japan","Japan"
42035,"Japan","Japan"
42036,"Japan","Japan"
42149,"USA","United States"
41962,"Japan","Japan"
42139,"Japan","Japan"
3614,"USA","United States"
59184,"India",NA
47990,"Argentina","Argentina"
41888,"Japan","Japan"
39404,"The Netherlands",NA
39404,"Australia",NA
42039,"Russia",NA
42039,"Iran",NA
76276,"India","India"
55171,"Argentina",NA
69075,"Hungary",NA
69075,"Poland",NA
25284,"Germany","Germany"
26060,"Italy","Italy"
27173,"Hungary","Turkey"
27173,"Switzerland","Turkey"
75698,"France","Iran"
75698,"France","United Arab Emirates"
75698,"France","China"
75698,"France","Turkey"
62018,"Japan","United States"
42046,"USA","United States"
87936,"South Korea","Canada"
87936,"Canada","Canada"
87936,"USA","Canada"
33381,"USA","United States"
73149,"Japan","Japan"
41753,"USA","Iran"
41753,"USA","United States"
41753,"Russia","Iran"
41753,"Russia","United States"
55682,"Egypt",NA
55682,"UK",NA
